组,关系,技能（优先级高→低）,技能ID,效果说明
盘丝,独立,摄魄,270,减少对方一定的魔法（自身等级*6） 恢复自身魔法（自身等级*3）
盘丝,独立,含情脉脉,271,令对手一定回合内无法行动
盘丝,独立,复苏,272,解除天宫封类法术的影响
盘丝,独立,天罗地网,273,"对多人进行法术攻击,一定几率降低其速度 (数目为 等级/30+1 )"
盘丝,独立,与君同醉,274,对1名队友使用，当此队友愤怒增加的时候，施法者也会增加等量的愤怒值 （持续3个回合）
盘丝,独立,碎琼乱玉,275,对2名队友使用，此队友在受到法术攻击时会加血，持续3回合 （加血值=受到伤害的25%）
盘丝,独立,瘴气,276,降低3名敌人50%的法术治疗效果 （持续5回合）
盘丝,独立,天蚕丝,277,提升自己或者队友25%的必杀几率 （持续4回合）
盘丝,独立,媚眼如丝,278,对全体队友使用，令其在回合结束的时候获得以下效果： ①减少等级*0.5的魔法值 ②增加“减少魔法值X3+100”的气血 （持续5回合）
地府,独立,阎罗令,280,对多个敌人造成“自身等级*8+100”的伤害 (数目为 等级/20+1 )
地府,独立,判官令,281,对单个敌人造成“自身等级*10+150”的伤害
地府,独立,寡欲令,282,解除盘丝洞封类法术的影响
地府,独立,幽冥鬼眼,283,"对隐身的敌人使用,使其现身且让其隐身效果失效."
地府,独立,尸腐毒,284,对敌人造成当前气血的5%伤害，有几率令对手中 毒  (对剧情BOSS只造成1%的伤害)
地府,独立,还阳术,286,"复活倒地的队友,5个回合内增加其攻击力,降低其防御"
地府,独立,黄泉之息,287,"重击对方单人,并一定几率降低速度和防御"
地府,独立,魂兮归来,288,召唤无名魂兮参与战斗，其属性为召唤者属性的80%
地府,独立,六道轮回,289,"对4名敌人进行法术攻击,一定几率降低其20%物理伤害"
魔王,独立,飞沙走石,291,对多人进行法术攻击 (数目为 等级/30+1 )
魔王,独立,三昧真火,292,"对单人进行法术攻击,造成高额法术伤害"
魔王,独立,牛劲,293,战斗中提升自己的灵力
魔王,独立,魔王回首,294,使用后可以在受到物理攻击的时候自动反击 （附带高级反击效果）
魔王,独立,无敌牛虱,295,召唤雷角斗兽参与战斗，其属性为召唤者属性的80%
魔王,独立,火甲术,296,当自身受到物理攻击、法术攻击时，将自动使用“三味真火”进行反击 （持续3回合）
魔王,独立,震天咒,298,一定回合内减少对方的气血 （每回合会减少6%的当前气血）
魔王,独立,魔王护持,299,对3名敌方单位进行嘲讽，使其接下来的3个回合都以自己为目标进行攻击
魔王,独立,沉戈断戟,300,造成法术伤害的同时，降低4名敌人的物理伤害和法术伤害 （持续4回合）
龙宫,独立,解封,302,解除女儿村封类法术的影响
龙宫,独立,清心,303,使用后可以解除中毒的状态
龙宫,独立,龙腾,304,"对单人进行法术攻击,造成高额法术伤害"
龙宫,独立,龙卷雨击,305,对多人进行法术攻击 (数目为 等级/25+1 )
龙宫,独立,乘风破浪,306,战斗中增加自己或队友的速度和躲避 （持续5回合）
龙宫,独立,龙吟,307,对全体敌人造成(施法者等级*2+100)的伤害 减少其(施法者等级数+100)的魔法值
龙宫,独立,神龙摆尾,308,对一名队友使用，可让其减少20%所受的物理伤害 （持续5回合）
龙宫,独立,二龙戏珠,309,"对2人进行法术攻击,造成高额法术伤害"
龙宫,独立,魔浪滔天,310,对4名敌人造成法术伤害，目标损失的气血越多，伤害就越高
龙宫,独立,呼风唤雨,311,"对单人进行3次法术攻击,当第3次伤害数值为奇数时，可以额外多打1次，最多打6次"
辅助技能,独立,强身术,313,古老的修身健体之术，流传年代十分久远。 【功效】增加自身气血上限
辅助技能,独立,冥想,314,长时间的劳累容易耗神，冥想可以增加你的思想范围。 【功效】增加自身魔法上限
辅助技能,独立,健身,315,身体是本钱，有一个强健的身躯很重要。 【功效】增加自身体力上限
辅助技能,独立,养生,316,年纪轻轻怎可么得活力，懂得养生才是长生之道。 【功效】增加自身活力上限
辅助技能,独立,狩猎,317,可以增加战斗中捕捉召唤兽的熟练度。 【功效】增加捕捉成功率
辅助技能,独立,逃离,318,三十六计走为上，打不过就跑。 【功效】增加逃跑成功率
特效,独立,神佑,151,受到使命伤害时，有20%的几率会回复到满血状态
特效,独立,珍宝,152,出售的时候，获得的金钱是正常价值的5倍
特效,独立,必中,153,普通物理攻击命中率为100%
特效,独立,神农,154,被药品恢复时候，额外恢复20%的气血和魔法
特效,独立,简易,155,佩戴装备的“装备等级要求”会再降低5级
特效,独立,无级别限制,156,佩戴装备的“装备等级要求”会被无视掉
特效,独立,永不磨损,157,装备的耐久度不会减少
特效,独立,狩猎,158,捕捉召唤兽时的成功率提升20%
特效,独立,暴怒,159,因气血损失而增加愤怒时，会额外获得20%的愤怒
特效,独立,再生,160,佩戴者每回合可以回复气血，为装备的等级数
特效,独立,冥思,161,佩戴者每回合可以回复魔法，为装备等级/3
特技,独立,四海升平,167,恢复全体队友20%气血
特技,独立,起死回生,168,复活单个已阵亡的队友，并恢复15%气血
特技,独立,慈航普度,169,复活所有已阵亡的队友，并恢复5%气血
特技,独立,水清决,170,解除单人的各种异常状态
特技,独立,冰清决,171,解除单人的各种异常状态，并回复20%气血
特技,独立,玉清决,172,解除全体队员的各种异常状态
特技,独立,晶清诀,173,解除全体队员的各种异常状态，并回复10%气血
特技,独立,破血狂攻,174,连续攻击物理攻击2次指定目标
特技,独立,河东狮吼,175,降低全体敌人20%的物理伤害，持续5回合
特技,独立,破甲术,176,降低全体敌人20%的物理防御，持续5回合
特技,独立,罗汉金钟,177,全体受到的伤害减半，效果持续4回合
基础指令,独立,攻击,1,给予单个敌人伤害。
基础指令,独立,防御,2,专注于防御，减少受到的伤害。
基础指令,独立,捕捉,3,捕捉宠物所需。
基础指令,独立,召唤,4,召唤宠物所需。
基础指令,独立,撤退,5,敌方角色的行动，撤离战斗。
基础指令,独立,什么也不做,6,真·什么也不做。
